idx,x,y,z
0,0.3312437530816889,20.956904123458976,-4.700629329528414
1,0.25082372311127576,19.933175169381155,-4.187748946332053
2,0.17224516268402087,18.932887709792674,-3.7021299287242093
3,0.09541510675483927,17.954858320509217,-3.2428391283854276
4,0.020247411358397915,16.99799040816264,-2.809013095749806
5,-0.0533378735656177,16.061266226407234,-2.399851563500953
8,-0.26531709079275456,13.362818309663009,-1.3131819269651903
9,-0.3332665395669698,12.497837058731083,-0.9957496801452032
10,-0.399957838216201,11.648871776855582,-0.6997464192733743
11,-0.4654435163929399,10.815253773335654,-0.42464902033582064
12,-0.529772736246706,9.996357225028406,-0.16996783447955724
13,-0.5929915470178462,9.191595935426893,0.06475604477433887
14,-0.6551431149141236,8.400420408382699,0.2799532652853737
15,-0.7162679311169778,7.6223152002328405,0.4760284799915237
16,-0.776404000400124,6.856796518727314,0.6533624157237615
17,-0.8355870125322074,6.103410041111702,0.8123137690502672
18,-0.8938504983688986,5.3617289271097945,0.9532209482563021
19,-0.9512259723109255,4.631352005464794,1.0764036781392892
20,-1.0077430626071289,3.9119021152105966,1.1821644821928425
21,-1.0634296308107982,3.2030245850194503,1.2707900549189668
22,-1.1183118815490867,2.5043858358618833,1.34255253540343
23,-1.172414463635823,1.815672093863286,1.3977106918816862
24,-1.2257605634445734,1.1365882016857576,1.4365110257838065
25,-1.2783719913589282,0.46685651803533934,1.4591888026536606
26,-1.330269262028632,-0.19378410398052276,1.4659690163712094
27,-1.381471669081614,-0.8455792679203945,1.4570672922517292
28,-1.4319973548717562,-1.4887599218822851,1.4326907338393848
29,-1.481863375779137,-2.123543189761139,1.3930387175445094
30,-1.5310857635225468,-2.7501331517433893,1.3383036386856428
31,-1.579679582892408,-3.36872157923409,1.2686716119819739
32,-1.627658986265253,-3.9794886288140234,1.1843231290932943
33,-1.6750372652180388,-4.582603499278328,1.0854336754181022
34,-1.7218268995214032,-5.1782250553096825,0.9721743080314365
35,-1.768039603755206,-5.766502420883685,0.8447121963685031
36,-1.8136863717570597,-6.347575545088707,0.7032111270340964
37,-1.8587775190849025,-6.921575742664898,0.5478319739374842
38,-1.9033227236478307,-7.4886262112255855,0.3787331348137445
39,-1.9473310646352975,-8.048842526817275,0.19607093509156975
40,-1.9908110598533206,-8.602333119201163,0.0
41,-2.017287664427311,-8.939374360270559,0.1428104598423041
42,-2.043619723215261,-9.274575565885934,0.26726972265314514
43,-2.0698056067128556,-9.60791599282263,0.3735417686756453
44,-2.0958432810968817,-9.939369750967058,0.4617819127406209
45,-2.121730303996251,-10.268905749482766,0.5321378227116779
46,-2.1474638221136155,-10.596487666534125,0.5847505428514753
47,-2.1730405712149174,-10.922073949153296,0.619755519983781
48,-2.1984568789704606,-11.245617849406479,0.6372836281832538
49,-2.223708671064884,-11.567067502172451,0.6374621856827859
50,-2.2487914808950706,-11.88636604859478,0.6204159559094475
51,-2.2737004630490514,-12.2034518076653,0.5862681232059178
